Area,Date,Assets,,,,,,,,
UK,30/07/2021,845801,,,,,,,,
UK,08/06/2021,847781,,,,,,,,
UK,13/08/2021,850208,,,,,,,,
UK,20/08/2021,854771,,,,,,,,
UK,27/08/2021,854410,,,,,,,,
UK,09/03/2021,856787,,,,,,,,
UK,09/10/2021,849568,,,,,,,,
UK,17/09/2021,850975,,,,,,,,
UK,24/09/2021,851363,,,,,,,,
UK,10/01/2021,859539,,,,,,,,
UK,10/08/2021,870620,,,,,,,,
UK,15/10/2021,885043,,,,,,,,
UK,22/10/2021,905287,,,,,,,,
UK,29/10/2021,936391,,,,,,,,
UK,11/05/2021,961365,,,,,,,,
UK,11/12/2021,964762,,,,,,,,
UK,19/11/2021,967635,,,,,,,,
UK,26/11/2021,967271,,,,,,,,
UK,12/03/2021,971828,,,,,,,,
UK,12/10/2021,973535,,,,,,,,
UK,17/12/2021,972517,,,,,,,,
UK,24/12/2021,969749,,,,,,,,
